# Generated by scripts/count-lines.sh — non-blank lines approximated via wc -l
feature,files,lines
router (PATH_INFO + method dispatch),src/ssr.cbl,121
route table,src/config.cbl,37
template engine,src/ssrtemplate.cbl,399
post list vars,src/postlistfill.cbl,86
page renderer,src/renderpage.cbl,37
CGI POST/cookie/session,cgilib+cgihtmlhdr+navbuild,286
indexed data (posts.dat),src/postsdata.cbl,207
page controllers,src/controllers/*.cbl,304
HTML views,views/*.html,127
total_cobol,,1477
total_views,,127
